阿党比周    相互勾结，相互偏袒，结党营私。
投机取巧    耍小聪明，利用时机谋取私利。
投间抵隙    同“投隙抵巇”。
投閒置散    见“投闲置散”。
投井下石    见“投阱下石”。
投阱下石    比喻乘人之危加以陷害。语出唐韩愈《柳子厚墓志铭》：“一旦临小利害，落陷穽不一引手救，反挤之又下石焉者，皆是也。”
投卵击石    比喻不自量力，自取失败。
投木报琼    《诗·卫风·木瓜》：“投我以木瓜，报之以琼琚。匪报也，永以为好也。”原谓男女相爱互赠礼品。后用以指报答他人对待自己的深情厚谊。
投其所好    投合对方的爱好。
投刃皆虚    《庄子·养生主》谓庖丁解牛，三年后所见皆非全牛，只见其骨节皆空虚，“彼节者有閒，而刀刃者无厚，以无厚入有閒，恢恢然其於游刃必有馀地矣”。后因以“投刃皆虚”比喻处理事务得心应手。
投山窜海    谓放逐到荒凉边远地区。
投石拔距    见“投石超距”。
投石超距    古代军中的习武练功活动。
投石问路    原指夜间潜入某处前，先投以石子，看看有无反应，借以探测情况。后用以比喻进行试探。
投石下井    见“投阱下石”。
投鼠忌器    比喻欲除害而有所顾忌。语本汉贾谊《治安策》：“里谚曰：‘欲投鼠而忌器。’此善谕也。鼠近於器，尚惮不投，恐伤其器，况於贵臣之近主乎！”
投鼠之忌    见“投鼠忌器”。
投梭折齿    《晋书·谢鲲传》：“邻家高氏女有美色，鲲尝挑之，女投梭，折其两齿。”后以“投梭折齿”为女子拒绝调戏的典故。
投梭之拒    见“投梭折齿”。
投桃报李    《诗·大雅·抑》：“投我以桃，报之以李。”后以“投桃报李”比喻相互赠答，礼尚往来。
投桃之报    比喻给对方的报答。
投隙抵巇    谓伺机钻营。
投隙抵罅    见“投隙抵巇”。
投闲置散    亦作“投閒置散”。置于闲散职位。谓不被重用。
突飞猛进    发展十分迅速。
突然袭击    ①军事用语。乘敌方不备发动快速进攻。②泛指给对方以出其不意的打击。
突如其来    突然来到或发生。
突梯滑稽    委婉从顺；圆滑随俗。
图财害命    谋人钱财，害人性命。
图谋不轨    阴谋作不法之事，多指进行不利于统治者的活动。
图穷匕见    《战国策·燕策三》载：战国时，燕太子丹派荆轲去刺秦王，荆轲以燕督亢地图卷匕首献于秦王，展图将尽，匕首露，轲以匕首刺秦王，不中被杀。后以“图穷匕见”比喻事情发展到最后，真相毕露。
图作不轨    图谋不轨。
徒负虚名    见“徒有虚名”。
徒托空言    谓只说空话而不实行。语出《史记·太史公自序》：“子曰：‘我欲载之空言，不如见之於行事之深切著明也。’”
徒拥虚名    见“徒有虚名”。
徒有其名    见“徒有虚名”。
徒有虚名    空有其名声。谓名不符实。
徒子徒孙    徒弟和徒孙。一个祖师沿传下来的弟子。亦泛指信徒、党羽，多含贬义。
涂歌里抃    路途的人歌诵，里巷的人抃舞。形容百姓欢欣快乐的升平景象。
涂歌里咏    同“涂歌邑诵”。
涂歌巷舞    同“涂歌里抃”。
涂歌邑诵    路途邑里的人全都歌诵。形容国泰民安、百姓欢乐的景象。
涂脂抹粉    ①指妇女用脂粉装饰打扮。②比喻对丑恶的东西掩饰美化。
荼毒生灵    残害人民。
荼毒生民    同“荼毒生灵”。
途穷日暮    又作：日暮途穷。
途途是道    头头是道。说话或做事很有条理。
途遥日暮    又作：日暮途穷。比喻到了走投无路的或衰亡的境地。语本《史记·平津侯主父列传》：“吾日暮途远，故倒行暴施之。”
屠门大嚼    比喻欣羡而不能得，聊为已得之状以自慰。
瘏口哓音    犹脣焦舌敝。语本《诗·豳风·鸱鸮》“予口卒瘏”、“予维音哓哓”二语。
土崩瓦解    土倒塌，瓦碎裂。比喻彻底崩溃。
土崩鱼烂    土崩溃，鱼腐烂。比喻溃败不可收拾。
土豪劣绅    泛指横行乡里的地主、恶霸。
土鸡瓦狗    见“土鸡瓦犬”。
土鸡瓦犬    亦作“土鸡瓦狗”。用泥做的鸡，用瓦做的狗。形容徒有其表，实则无用。
土阶茅茨    见“土阶茅屋”。
土阶茅屋    亦作“土阶茅茨”。以土为阶，以茅草盖屋。谓居住俭朴。
土龙刍狗    土做的龙，草扎的狗。比喻名实不相副。
土龙沐猴    比喻徒有虚名，而无其实。
土木形骸    形体象土木一样自然。比喻人不加修饰的本来面目。
土牛木马    土制的牛，木造的马。比喻徒有其名而无实用。
土偶蒙金    在泥塑人像外面涂上金粉。比喻因袭模仿，徒有其表。
土壤细流    语出《史记·李斯列传》：“是以太山不让土壤，故能成其大；河海不择细流，故能就其深。”后因以“土壤细流”比喻微不足道的事物。
土生土长    在本地生长。
吐哺辍洗    据《韩诗外传》卷三载，周公殷勤待客，甚至于“一饭三吐哺”，唯恐失天下之士。又据《史记·高祖本纪》载，郦食其求见刘邦，刘邦方踞床洗足。郦生不拜，且斥其不宜踞见长者，於是刘邦起而谢之，延上坐。后世遂以“吐哺辍洗”为礼贤下士之典实。
吐哺握发    《韩诗外传》卷三：“成王封伯禽於鲁，周公诫之曰：‘往矣，子无以鲁国骄士。吾文王之子，武王之弟，成王之叔父也，又相天下，吾於天下亦不轻矣，然一沐三握发，一饭三吐哺，犹恐失天下之士。’”按，《史记·鲁周公世家》作“一沐三捉发”。后遂以“吐哺握发”形容礼贤下士，求才心切。
吐哺捉发    见“吐哺握发”。
吐胆倾心    同“吐肝露胆”。
吐肝露胆    喻赤诚相待，说出心里话。
吐刚茹柔    吐出硬的，吃下软的。比喻怕强欺弱。语本《诗·大雅·烝民》：“人亦有言：柔则茹之，刚则吐之。维仲山甫，柔亦不茹，刚亦不吐；不侮矜寡，不畏彊御。”孔颖达疏：“柔濡者则茹食之，坚刚者则出之，喻……敌寡弱者则侵侮之，强盛者则避畏之。”
吐故纳新    ①道家养生之术。谓吐出浊气，吸纳清气。②人体的呼吸过程，谓呼出二氧化碳，吸进新鲜空气。③比喻扬弃陈旧的，吸收新鲜的。
吐气扬眉    形容受压抑的心情得以舒展而感到快意。
吐食握发    同“吐哺握发”。
吐丝自缚    喻人作了某事反使自己受困。
吐心吐胆    同“吐肝露胆”。
吐珠於泽，谁能不含    谓明珠出于水泽，则人皆取而含之。比喻君权旁落，则人皆谋夺之。
兔角牛翼    兔不生角，牛不长翼，故以“兔角牛翼”喻不合情理之事。
兔葵燕麦    形容景象荒凉。
兔起凫举    喻行动快速。
兔起鹘落    谓兔子刚出窝，鹘立即降落捕捉。极言动作敏捷。亦比喻作书画或写文章下笔迅捷。
兔起乌沉    谓月出日落。
兔缺乌沈    犹兔走乌飞。
兔丝燕麦    喻有名无实。
兔死狗烹    兔子死后，猎狗被烹食。多比喻统治者杀害功臣。语出《史记·越王勾践世家》：“范蠡遂去，自齐遗大夫种书曰：‘蜚鸟尽，良弓藏；狡兔死，走狗烹。越王为人长颈鸟喙，可与共患难，不可与共乐。子何不去？’”
兔死狐悲    比喻因同类的灭亡感到悲伤。
兔死犬饥    比喻敌人灭亡后，功臣不受重用。
兔头麞脑    形容人面貌猥琐。多形容坏人。
兔走鹘落    见“兔起鹘落”。
兔走乌飞    谓日月运行，光阴流逝。兔，月中玉兔；乌，日中金乌。
团头聚面    形容非常亲密地相聚在一起。
抟空捕影    又作：捕风捉影。
抟沙嚼蜡    比喻空虚而无味。
抟沙作饭    比喻白费心思。
抟香弄粉    谓与女人厮混。
抟心壹志    见“抟心揖志”。
抟心揖志    专心一志。
剸繁决剧    亦作“剸繁治剧”。谓裁处繁剧的政务。
剸繁治剧    见“剸繁决剧”。
推波助澜    比喻助长声势。
推陈出新    见“推陈致新”。
推陈致新    ①排除陈旧的，生出新的来。指肌体内的新陈代谢。②泛指排除旧的，创出新的。
推诚布公    示人以诚，公正无私。
推诚置腹    同“推心置腹”。
推东主西    又作：推三阻四。
推己及人    以己之心度人；设身处地为他人着想。
推己及物    同“推己及人”。
推襟送抱    比喻推诚相与。襟抱，心意。
推枯折腐    又作：摧枯拉朽。比喻腐朽势力极易打垮。
推梨让枣    汉末孔融兄弟七人，融居第六，四岁时，与诸兄共食梨，融取小者，大人问其故，答道：“我小兒，法当取小者。”见《后汉书·孔融传》李贤注。又南朝梁王泰幼时，祖母集诸孙侄，散枣栗于床，群兒皆竞取，泰独不取。问之，答道：“不取，自当得赐。”见《梁书·王泰传》。后因以“推梨让枣”谓兄弟友爱。
推聋妆哑    谓装作不闻不问，什么都不知道。
推聋作哑    见“推聋妆哑”。
推轮捧毂    古代帝王任命将帅时的隆重礼遇。
推乾就湿    同“推燥居湿”。
推三推四    同“推三阻四”。
推三阻四    以各种借口推托、阻挠。
推食解衣    《史记·淮阴侯列传》：“汉王授我上将军印，予我数万众，解衣衣我，推食食我，言听计用，故吾得以至於此。”后因以“推食解衣”极言恩惠之深。
推天抢地    形容乱推乱搡。
推亡固存    推翻行亡道之国，巩固行存道之邦。
推贤让能    推举贤士，让位与能人。
推心致腹    见“推心置腹”。
推心置腹    谓以至诚待人。语本《东观汉记·光武帝纪》：“萧王推赤心置人腹中，安得不投死！”
推燥居湿    把干燥处让给幼兒，自己睡在幼兒便溺后的湿处。极言抚育幼兒的辛劳。
颓垣败壁    又作：颓垣废井。
颓垣败井    又作：颓垣废井。
颓垣断堑    又作：颓垣废井。
颓垣废井    倒塌了的墙，废弃不用的井。形容荒凉破败的景象。
颓垣废址    又作：颓垣废井。
退避三舍    春秋晋公子重耳出亡至楚，楚成王礼遇重耳，并问：“公子若反晋国，则何以报不穀？”重耳对曰：“若以君之灵，得反晋国，晋楚治兵，遇於中原，其辟君三舍。”舍，军行三十里。后重耳返国执政，晋楚城濮之战，晋军果“退三舍以辟之”。见《左传·僖公二十三年》、《僖公二十八年》。后因以“退避三舍”表示退让，不敢与争。
退藏於密    后退隐藏于秘密之处，不露行迹。谓哲理精微深邃，包容万物。
退旅进旅    一起进退。
退食从容    谓官吏品行节俭正直，仪容从容自得，可为楷模。语本《诗·召南·羔羊》：“退食自公，委蛇委蛇。”郑玄笺：“退食，谓减膳也。自，从也。从於公，谓正直顺於事也。委蛇，委曲自得之貌。节俭而顺心志定，故可自得也。”硃熹集传：“南国化文王之政，在位皆节俭正直，故诗人美其衣服有常，而从容自得如此也。”
退食自公    减膳以示节俭。谓操守廉洁。
退有后言    谓当面顺从，背后有异议。
蜕故孳新    又作：去旧生新。
蜕化变质    谓腐化堕落，起了质的变化。
吞刀刮肠    喻痛下决心改过自新。
吞风饮雨    又作：餐风宿露。形容四处奔波，生活艰辛。
吞符翕景    谓道者吞符箓，服日霞。
吞声忍泪    形容强忍悲伤。
吞声忍气    强忍气愤而不出声。
吞声饮恨    谓抱恨无言。语本南朝梁江淹《恨赋》：“自古皆有死，莫不饮恨而吞声。”
吞声饮气    犹吞声忍气。
吞声饮泣    形容不出声地悲泣。
吞炭漆身    战国时，豫让受知于智伯。后，韩、赵、魏三家合力攻杀智伯。豫让为报知遇之恩，矢志复仇。于是漆身为厉，吞炭为哑，改变声音形貌，伺机刺杀赵襄子，事败而死。事见《战国策·赵策一》、《史记·刺客列传》。后以为忍辱含垢，矢志复仇的典实。
吞吞吐吐    形容有话不直说或说话有顾虑，想说又不敢说的样子。
吞言咽理    谓不敢声张和申辩。
吞云吐雾    《梁书·沈约传》：“始飡霞而吐雾，终凌虚而倒影。”形容道家的绝谷养气。后乃以“吞云吐雾”形容吸鸦片或吸烟，多寓讥讽。
吞纸抱犬    吞纸充饥，抱犬御寒。形容家贫好学。
吞舟漏网    见“吞舟是漏”。
吞舟是漏    本谓大鱼漏网，后常以喻罪大者逍遥法外。
吞舟之鱼    能吞舟的大鱼。常以喻人事之大者。
屯积居奇    谓把奇货储存起来，待机高价出售。
屯街塞巷    形容人多拥挤。
屯蹶否塞    颠连困厄。
屯毛不辨    《汉书·沟洫志》“河复北决於馆陶，分为屯氏河”唐颜师古注：“而隋室分析州县，误以为毛氏河，乃置毛州，失之甚矣。”后因以“屯毛不辨”喻不能分辨相近或相似的事物。
讬凤攀龙    又作：攀龙附凤。比喻依附帝王、权贵。
讬公报私    借公事报私怨。
讬公行私    又作：假公济私。
讬孤寄命    《论语·泰伯》：“可以讬六尺之孤，可以寄百里之命。”邢昺疏：“可以讬六尺之孤者，谓可委讬以幼少之君也。若周公、霍光也；可以寄百里之命者，谓君在亮阴，可当国摄君之政令也。”后以“讬孤寄命”指受遗命托付辅助幼君；或君主居丧时，受命摄理朝政。亦泛指付托以常之重任。
讬骥之蝇    喻指追随贤能之后而得以显名的人。
讬物陈喻    借事物设喻。
讬物感怀    假借事物抒发胸怀。
讬物连类    见“讬物引类”。
讬物引类    谓援引类似的事物寄托己意。
讬物寓感    假借外物寄托情感。
讬物寓兴    假借外物寄托情致。
讬于空言    见“讬之空言”。
讬之空言    谓寄托所怀于文词议论。
讬诸空言    见“讬之空言”。
拖金委紫    佩带紫绶金印。比喻官高位显。
拖麻拽布    指戴孝。旧时，长辈丧亡，幼辈要披麻衣系白布。
拖泥带水    ①形容在泥泞道路中行走的状貌。②比喻办事不干脆利索或语言不简明扼要。
拖青纡紫    汉制，诸侯佩带的印绶为紫色，公卿为青色。因以“拖青纡紫”比喻官位显贵。
拖人落水    又作：拖人下水。
拖人下水    喻诱人同流合污。
拖天扫地    形容衣服过长。
脱白挂绿    脱去白衣，换上绿袍。谓初登仕途。
脱骨换胎    见“脱胎换骨”。
脱缰之马    脱掉缰绳的马。比喻脱离羁绊的人或事物。
脱壳金蝉    比喻用计谋脱身。
脱口成章    出口便成文章。喻才思敏捷。
脱口而出    不加思索，随口说出。
脱袍退位    喻去职。
脱手弹丸    南朝梁沈约曾用谢朓“好诗圆美流转如弹丸”的话，来评王筠的诗，见《南史·王筠传》。后因以“脱手弹丸”形容诗作圆转流暢。
脱胎换骨    ①道教谓修炼得道，脱去凡胎而成圣胎，换易凡骨而为仙骨。②指诗文取法前人而化为己出。③形容思想上发生根本性的变化。
脱天漏网    谓不受约束地胡作非为。
脱颖而出    比喻有才能者的才能终能显露出来。
脱颖囊锥    喻才能出众者。
橐甲束兵    同“櫜甲束兵”。
橐驼之技    指高明的栽培技艺。典出唐柳宗元《种树郭橐驼传》。
鼍愤龙愁    如鼍愤怒，如龙忧愁。比喻乐曲的情调悲愤。
鼍鸣鳖应    比喻声气相通，互相感应。
妥首帖耳    又作：俯首帖耳。形容非常驯服恭顺。
唾地成文    形容文思敏捷。唐冯贽《云仙杂记》有“唾地成文”一目，赞李贺云：“有人谒李贺，见其久而不言，唾地者三，俄而成文三篇。”
唾壶击缺    亦作“唾壶敲缺”。南朝宋刘义庆《世说新语·豪爽》：“王处仲（王敦）每酒后辄咏‘老骥伏枥，志在千里。烈士暮年，壮心不已’。以如意打唾壶，壶口尽缺。”后以“唾壶击缺”或“唾壶敲缺”形容心情忧愤或感情激昂。
唾壶敲缺    见“唾壶击缺”。
唾面自乾    《尚书大传》卷三：“骂女毋叹，唾女毋乾。”《新唐书·娄师德传》：“其弟守代州，辞之官，教之耐事。弟曰：‘人有唾面，絜之乃已。’师德曰：‘未也。絜之，是违其怒，正使自乾耳。’”后以“唾面自乾”形容逆来顺受，受辱而不计较、反抗。
唾手可得    比喻极易得到或成功。
唾手可取    同“唾手可得”。
跅弛不羁    放荡不受拘束。
跅幪不羁    见“跅幪不羁”。
跅弢不羁    同“跅弛不羁”。
挖耳当招    见别人举手挖耳，误认为在招呼自己。比喻由期待过切而产生的误会。
挖空心思    费尽心机。
挖肉补疮    比喻只顾解决眼前问题而用有害的方法来救急。
蛙蟆胜负    青蛙与虾蟆斗争的胜败。比喻不足介意的荣哀得失。
蛙鸣蝉噪    青蛙鸣，知了叫。比喻众口喧闹。
蛙鸣鸱叫    青蛙鸣，鸱鸟叫。比喻浅陋拙劣的文词。
蛙鸣狗吠    青蛙与狗的鸣叫。比喻拙劣的诗文。
蛙鸣蚓叫    青蛙与蚯蚓的鸣叫。比喻浅陋的识见或议论。
瓦查尿溺    碎瓦和小便。指极微贱污秽的东西。语出《庄子·知北游》：“东郭子问於庄子曰：‘所谓道，恶在乎？’庄子曰：‘无所不在。’东郭子曰：‘期而后可。’庄子曰：‘在蝼蚁。’曰：‘何其下邪？’曰：‘在稊稗。’曰：‘何其愈下邪？’曰：‘在瓦甓。’曰：‘何其愈甚邪’曰：‘在尿溺。’东郭子不应”。
瓦釜雷鸣    喻庸才显赫。
瓦解冰泮    瓦器破碎，冰塊融解。比喻失败、崩溃或消失。
瓦解冰消    见“瓦解冰泮”。
瓦解冰销    见“瓦解冰泮”。
瓦器蚌盘    泛指粗陋的食器。形容生活俭朴。
瓦影之鱼    喻求庇于人。
歪八竖八    杂乱不整的样子。
歪不横楞    歪斜不正的样子。
歪打正着    比喻采用的方法本来不妥当，却侥幸得到满意的结果。
歪风邪气    不良的风气。
歪心邪意    谓心术不正。
外方内员    谓外表正直，内心圆滑。
外感内伤    ①中医谓外感风邪，内有郁积而致病。②比喻内外煎迫。
外合里应    外面攻打，里边接应。
外简内明    谓对人表面上简易，而内心明察。
外彊中乾    亦作“外强中乾”。谓貌似强大，实质虚弱。
外宽内忌    谓外表上看似宽宏，内心却多忌刻。
外宽内明    谓外表宽宏而内心明察。
外宽内深    谓外貌宽厚而实则城府很深。
外厉内荏    表面强硬而内心虚弱。
外强中瘠    外表上好象很强大，实际上很虚弱。
外强中乾    见“外彊中乾”。
外巧内嫉    外貌乖巧，内心刻忌。又作：口蜜腹剑。
外圆内方    外表随和，内心严正。
弯弓饮羽    《韩诗外传》卷六：“昔者楚熊渠子夜行，寝石以为伏虎，弯弓而射之，没金饮羽，下视知其为石，石为之开，而况人乎！”《史记·李将军列传》：“广（李广）出猎，见草上容石，以为虎而射之，中石没镞，视之石也。”后因以“弯弓饮羽”形勇猛善射。
弯腰捧腹    形容大笑的样子。
剜肉补疮    亦作“剜肉医疮”。语本唐聂夷中《伤田家》诗：“二月卖新丝，五月粜新穀。医得眼前疮，剜却心头肉。”后因以“剜肉补疮”或“剜肉医疮”比喻用有害的手段救眼前之急，不暇顾及后果。
剜肉成疮    本想割肉医疮，但被割之处反成新疮。比喻行事只顾一面，结果与预想适得其反。
剜肉生疮    犹剜肉成疮。
剜肉医疮    见“剜肉补疮”。
剜肉做疮    犹剜肉成疮。
刓方为圆    《楚辞·九章·怀沙》：“刓方以为圜兮，常度未替。”王逸注：“言人刓削方木，欲以为圜，……以言谗人谮逐放己，欲使改行。”圜，同“圆”。把方的削成圆的。比喻改变忠直之性，随俗俯仰。
纨袴膏粱    指精美的衣食。借指富贵人家的子弟。
纨袴子弟    指出身富贵家庭、不务正业的子弟。
纨绮子弟    纨袴子弟。
完璧归赵    战国时，赵惠文王得楚和氏璧。秦昭王遗赵王书，愿以十五城换璧。蔺相如自愿奉璧出使秦国，并表示：“城入赵而璧留秦；城不入，臣请完璧归赵。”相如入秦献璧后，见秦王无意偿赵城，乃设法复取璧，派从者送回赵国。见《史记·廉颇蔺相如列传》。后遂用“完璧归赵”比喻将原物完好无损地归还原主。
完名全节    谓名节得以保全。
玩兵黩武    轻率无度地使用武力。
玩故習常    因循守旧，安于现状。
玩火自焚    《左传·隐公四年》：“夫兵，犹火也，弗戢，将自焚也。”后以“玩火自焚”比喻冒险干坏事的人必将自食其恶果。
玩日愒时    又作：玩时愒日。
玩日愒月    贪图安逸，荒废岁月。
玩时愒日    亦作“玩时贪日”。谓贪图安逸，旷废时日。
玩时贪日    见“玩时愒日”。
玩世不恭    对现实社会采取不严肃的态度。
玩岁愒日    谓贪图安逸，虚度岁月。语本《左传·昭公元年》：“赵孟将死矣。主民，玩岁而愒日，其与几何？”《汉书·五行志中之上》引作“玩岁而愒日”。颜师古注：“玩，爱也。愒，贪也。”
玩岁愒时    同“玩岁愒日”。
玩岁愒月    谓苟安岁月。本作“玩岁而愒日”。见《左传·昭公元年》。
玩物丧志    谓沉迷于所爱好的事物，而丧失远大的理想。
顽父嚚母    《书·尧典》：“父顽，母嚚，象傲。”后因以“顽父嚚母”指愚顽暴虐的家长。
顽梗不化    犹顽固不化。
顽固不化    ①昏昧保守，固执而不知变通。②指坚持错误，不肯改悔。
顽廉懦立    使贪婪者变得廉洁，使懦弱者能够自立。形容志节之士对社会的感化力量之大。顽，通“忨”。语本《孟子·万章下》：“故闻伯夷之风者，顽夫廉，懦夫有立志。”赵岐注：“顽贪之夫，更思廉絜；懦弱之人，更思有立义之志也。”
顽皮赖骨    ①谓品行不端、无赖狡诈。②指品行不端、无赖狡诈的人。
顽皮赖肉    见“顽皮赖骨”。
顽皮贼骨    指品行不端，无赖狡诈的人。
顽石点头    语本晋·无名氏《莲社高贤传·道生法师》：“师被摈，南还，入虎丘山，聚石为徒。讲《涅槃经》，至阐提处，则说有佛性，且曰：‘如我所说，契佛心否？’群石皆为点头，旬日学众云集。”后因以“顽石点头”比喻道理讲得透彻，说服力强，足以使人信服。
晚节不终    指到了晚年不能保持节操。
万变不离其宗    形式上变化很多，但本质或目的不变。
万不得已    无可奈何；不得不这样。
万不失一    同“万无一失”。绝无差错。
万夫不当    见“万夫不当之勇”。
万夫不当之勇    万人不能抵御。形容极其勇健。
万古长春    见“万古长青”。
万古长青    亦作“万古长春”。永远像春天的草木一样欣欣向荣。
万古流芳    亦作“万古留芳”。芳，香。指好名声。谓好名声永远流传。
万古留芳    见“万古流芳”。
万古千秋    形容经历的时间极久。
万壑千岩    形容峰峦、山谷极多。语出南朝宋刘义庆《世说新语·言语》：“顾长康从会稽还，人问山川之美，顾云：‘千岩竞秀，万壑争流。’”
万户千门    ①指众多人家。②形容屋宇深广。
万家灯火    家家都点上灯。形容城镇夜晚的景象。
万箭攒心    像万枝箭攒集在心头。形容悲痛到极点。
万劫不复    谓永远不能恢复。
万口一词    见“万口一辞”。
万口一辞    又作：异口同声。形容所有的人都是一个说法。
万苦千辛    极言辛苦之甚。
万里长城    ①指秦始皇为了防御北方匈奴贵族的侵略所修缮的西起临洮，北傍阴山，东至辽东的古长城。参见“长城”。②比喻不可逾越的障碍。③比喻国家所依赖的战将。
万里长征    形容非常远的征程。唐王昌龄《出塞》诗之一：“秦时明月汉时关，万里长征人未还。”陈毅《送沈张诸君赴延安》诗：“万里长征不计程，指津自有北辰星。”后用以比喻所从事的长期的、艰巨的事业。
万里鹏程    犹鹏程万里。比喻前程远大。
万里迢迢    形容路程很遥远。
万缕千丝    ①千根丝，万根线。形容一根又一根，数也数不清。②现多比喻两者之间关系错综复杂或感情、思绪纷繁。喻两者之间关系错综复杂或感情、思绪纷繁。
万马奔腾    ①无数匹马奔跑跳跃。②常用以形容声势浩大、气魄宏伟、进展迅速等情状。
万马齐喑    亦作“万马齐瘖”。喑，哑。众马都沉寂无声。语本宋苏轼《三马图赞》序：“时西域贡马……振鬣长鸣，万马皆瘖。”后用以比喻人们都沉默，不敢发表意见。
万马齐瘖    见“万马齐喑”。
万目睽睽    犹众目睽睽。众人都在注视着。
万年无疆    见“万世无疆”。
万念俱灰    一切念头、打算都破灭了。形容失意或遭打击、挫折后极端灰心失望的心情。
万签插架    谓书籍之多。语出唐韩愈《送诸葛觉往随州读书》诗：“鄴侯家多书，插架三万轴。一一悬牙签，新若手未触。”
万人空巷    家家户户的人都从巷里出来了。形容盛大集会或新奇事物哄动一时的情景。
万世无疆    形容年代久远。
万世一时    万世才有这么一个时机。形容机会难得。
万事大吉    一切事情都很圆满顺利。
万事俱备，只欠东风    《三国演义》第四九回：“（孔明）密书十六字曰：‘欲破曹公，宜用火攻；万事俱备，只欠东风。’”后因以“万事俱备，只欠东风”比喻样样都准备好了，就差最后一个重要条件。
万寿无疆    千秋万世，永远生存。祝福、祝愿之语。旧时常用以祝颂帝王。
万水千山    形容路途遥远险阻。
万死一生    又作：九死一生。极言生命的危险。语出《汉书·司马迁传》：“夫人臣出万死不顾一生之计，赴公家之难，斯以奇矣。”
万无一失    形容绝对不会出差错。语本汉枚乘《七发》：“孔老览观，孟子持筹而算之，万不失一。”
万象更新    宇宙间一切事物或景象都变得焕然一新。
万象森罗    纷然罗列的各种事物和现象。
万绪千头    形容事物繁杂纷乱，头绪很多。
万应灵药    各种病都能治的灵药。比喻任何事情都可以适用的好方法。
万语千言    形容说的话很多。
万众一心    谓千万人一条心。形容团结一致。
万紫千红    ①形容百花齐放，色彩绚丽。多指繁盛的春色。②比喻事物的丰富多彩、欣欣向荣。
汪洋大海    ①广阔无边的大海。亦比喻声势极其浩大。②比喻极多，极丰富。
亡不旋跬    犹亡不旋踵。
亡不旋踵    谓迅速灭亡。不旋踵，来不及转脚跟。形容时间极短。
亡国大夫    《礼记·射义》：“贲军之将、亡国之大夫与为人后者不入，其馀皆入。”孔颖达疏：“亡国之大夫者，谓亡君之国，言不忠且无智也。”后因以“亡国大夫”指不忠不智的前朝遗臣。
亡国灭种    国家灭亡，种族灭绝。谓一个国家被彻底毁灭。
亡国之器    指象箸、玉杯之类的器皿，古代作为骄奢亡国的象征。
亡国之社    已亡国家的祠社。古代天子将其作为亡国的象征，以自儆戒。
亡国之声    指淫靡的音乐。
亡国之音    ①指国家将亡时的充满悲愁哀思的乐音。②指淫靡的音乐。
亡魂丧胆    形容惊慌恐惧到了极点。
亡魂失魄    形容惊慌失措。
亡戟得矛    喻有失有得。
亡可奈何    无可奈何。谓只能如此，没有别的办法。
亡命之徒    本指脱离户籍的逃亡者。后泛指不顾性命，犯法作恶的人。
亡秦三户    《史记·项羽本纪》：“夫秦灭六国，楚最无罪。自怀王入秦不反，楚人怜之至今，故楚南公曰‘楚虽三户，亡秦必楚’也。”后因以“亡秦三户”指不畏强暴，奋起推翻黑暗统治之事。
亡矢遗镞    损失箭和箭头。比喻军事上的细微损失。
亡羊补牢    《战国策·楚策四》：“见菟而顾犬，未为晚也；亡羊而补牢，未为迟也。”谓走失了羊，趕快修补羊圈，还不算晚。比喻失误后及时补救。
亡猿祸木    《渊鉴类函》卷四三二引《汀州志》：“唐大历中，有猴数百集古田杉林中，里人欲伐木杀之。中一老猴忽跃去近邻一家纵火焚屋。里人惧，亟走救火，於是群猴脱去。”后因以“亡猿祸木”喻欲损人反而害己的行为。
亡猿灾木    见“亡猿祸木”。
王公大人    国君重臣。后泛指高官贵人。
王后卢前    《旧唐书·文苑传上·杨炯》：“炯与王勃、卢照邻、骆宾王以文词齐名，海内称为王、杨、卢、骆，亦号为‘四杰’。烱闻之，谓人曰：‘吾愧在卢前，耻居王后。’当时议者，亦以为然。”后以“王后卢前”指诗文齐名。
王孙公子    泛指贵家子孙。
网开三面    《史记·殷本纪》：“汤出，见野张网四面，祝曰：‘自天下四方，皆入吾网。’汤曰：‘嘻，尽之矣！’乃去其三面，祝曰：‘欲左，左；欲右，右。不用命，乃入吾网。’诸侯闻之，曰：‘汤德至矣，及禽兽。’”后因以“网开三面”喻法令宽大，恩泽遍施。
网开一面    同“网开三面”。
网漏吞舟    《史记·酷吏列传序》：“汉兴，破觚而为圜，斫雕而为朴，网漏於吞舟之鱼，而吏治烝烝，不至於奸，黎民艾安。”网漏，谓法网疏宽。吞舟，指大鱼，比喻大奸。后因以“网漏吞舟”喻法网疏宽，大奸得脱。
往蹇来连    谓往来皆难；进退皆难。
往渚还汀    谓往返都须渡水。
枉尺直寻    《孟子·滕文公下》：“枉尺而直寻，宜若可为也。”硃熹集注：“枉，屈也；直，伸也。八尺曰寻，所屈者小，所伸者大也。”后因以“枉尺直寻”比喻小有所损，而大有所获。
枉道事人    本谓违背正道侍奉人。后形容不择手段地讨好人。
枉费脣舌    白费言辞，不起作用。
枉费工夫    白白地耗费时间与精力。形容徒劳无益。
枉费心机    白白地浪费心思。形容徒劳无益。
枉费心计    同“枉费心机”。
枉费心力    又作：枉费心机。
枉费心思    同“枉费心机”。
枉己正人    谓己身不正，却要去纠正他人。
枉矫过激    又作：矫枉过正。
枉口拔舌    肆意胡言，造谣生事。
枉口嚼舌    见“枉口拔舌”。
枉口诳舌    见“枉口拔舌”。
